t	r
0	0.375217
0	0.38693
0	0.398029
0	0.408712
0	0.418351
0	0.426996
0	0.435306
0	0.439685
0	0.440367
0	0.441559
0	0.442043
0	0.44195
0	0.443178
0	0.445478
0	0.449417
0	0.454179
0	0.457559
0	0.460648
0	0.463569
0	0.465299
0	0.467037
0	0.467791
0	0.466235
0	0.463238
0	0.459495
0	0.453733
0	0.446003
0	0.438324
0	0.430737
0	0.419406
0	0.403009
0	0.385105
0	0.367344
0	0.350489
0	0.333921
0	0.31863
0	0.304531
0	0.290564
0	0.27797
0	0.268418
0	0.262043
0	0.257062
0	0.253651
0	0.253231
0	0.255982
0	0.259694
0	0.263588
0	0.26842
0	0.275152
0	0.284775
0	0.295892
0	0.307514
0	0.321847
0	0.337276
0	0.350731
0	0.362856
0	0.374456
0	0.386751
0	0.398666
0	0.408825
0	0.419041
0	0.429605
0	0.439296
0	0.446107
0	0.449568
0	0.45094
0	0.451658
0	0.451931
0	0.451126
0	0.450451
0	0.449567
0	0.44665
0	0.441093
0	0.435338
0	0.429815
0	0.423742
0	0.416563
0	0.408682
0	0.40122
0	0.392513
0	0.384491
0	0.378992
0	0.375033
0	0.374077
0	0.375962
0	0.377992
0	0.379068
0	0.381169
0	0.384124
0	0.385684
0	0.38628
0	0.387358
0	0.390077
0	0.393447
0	0.39588
0	0.395627
0	0.393563
0	0.392257
0	0.390777
0	0.388843
0	0.386525
0	0.383631
0	0.380618
0	0.377987
0	0.376453
0	0.374782
0	0.374832
0	0.37806
0	0.380369
0	0.380255
0	0.378553
0	0.374798
0	0.370336
0	0.367329
0	0.365346
0	0.364377
0	0.364295
0	0.364218
0	0.36451
0	0.366649
0	0.369771
0	0.371076
0	0.370343
0	0.370109
0	0.371138
0	0.371662
0	0.370776
0	0.368362
0	0.364695
0	0.361057
0	0.355861
0	0.346811
0	0.335425
0	0.322943
0	0.311664
0	0.301396
0	0.2909
0	0.281857
0	0.276347
0	0.273651
0	0.272202
0	0.271567
0	0.271537
0	0.272872
0	0.273981
0	0.274632
0	0.276179
0	0.278639
0	0.280818
0	0.283359
0	0.287178
0	0.291041
0	0.293954
0	0.296455
0	0.301049
0	0.307985
0	0.316926
0	0.32681
0	0.335966
0	0.345512
0	0.355876
0	0.366131
0	0.375276
0	0.383645
0	0.393583
0	0.405137
0	0.416991
0	0.427123
0	0.435672
0	0.44392
0	0.451021
0	0.456637
0	0.461289
0	0.465176
0	0.466645
0	0.465433
0	0.462324
0	0.458038
0	0.453606
0	0.448145
0	0.441407
0	0.434993
0	0.429749
0	0.425627
0	0.421046
0	0.416332
0	0.41182
0	0.405309
0	0.395382
0	0.383377
0	0.371441
0	0.359886
0	0.349506
0	0.341094
0	0.33296
0	0.323273
0	0.314292
0	0.307425
0	0.302425
0	0.299094
0	0.297968
0	0.298929
0	0.300579
0	0.301719
0	0.301279
0	0.301421
0	0.303166
0	0.307079
0	0.313346
0	0.31942
0	0.325578
0	0.332915
0	0.341445
0	0.351308
0	0.361717
0	0.371946
0	0.381593
0	0.391845
0	0.402108
0	0.41132
0	0.42017
0	0.429919
0	0.440076
0	0.449616
0	0.458588
0	0.465585
0	0.471086
0	0.47562
0	0.479841
0	0.485552
0	0.492001
0	0.495804
0	0.494957
0	0.490997
0	0.483831
0	0.474738
0	0.466188
0	0.455876
0	0.442293
0	0.427088
0	0.411434
0	0.394589
0	0.377014
0	0.360046
0	0.345383
0	0.332214
0	0.318569
0	0.304305
0	0.289574
0	0.27417
0	0.257927
0	0.24046
0	0.221626
0	0.202915
0	0.185707
0	0.172032
0	0.162189
0	0.155298
0	0.150623
0	0.148719
0	0.150115
0	0.154495
0	0.160372
0	0.168483
0	0.178376
0	0.188529
0	0.199526
0	0.210804
0	0.222271
0	0.235142
0	0.249995
0	0.266152
0	0.283803
0	0.303475
0	0.325428
0	0.347767
0	0.368509
0	0.387955
0	0.407135
0	0.423853
0	0.437912
0	0.451446
0	0.462973
0	0.471879
